sintomas,doenca
"dor torácica, nariz entupido, cefaleia, falta de ar",COVID-19
"dor de garganta, congestão nasal, nariz escorrendo, cefaleia, tosse seca",COVID-19
"febre alta, congestão nasal, dor de cabeça, perda de fala ou movimento, calafrios",COVID-19
"nariz escorrendo, mialgia, diarreia, irritação na garganta",COVID-19
"anosmia, cansaço, febre alta, calafrios",COVID-19
"diarreia, anosmia, tosse, paralisia",COVID-19
"cansaço, nariz entupido, tosse, coriza, dor no peito",COVID-19
"cefaleia, congestão nasal, dor no peito",COVID-19
"irritação na garganta, mialgia, dor torácica, calafrios, febre alta",COVID-19
"evacuações líquidas, congestão nasal, dor no peito, perda de paladar ou olfato, fadiga",COVID-19
"sem olfato, coriza, dificuldade para respirar",COVID-19
"falta de ar, calafrios, dor de garganta",COVID-19
"dor de garganta, nariz escorrendo, fadiga, dor torácica",COVID-19
"irritação na garganta, dificuldade para respirar, febre, calafrios, dor no peito",COVID-19
"cansaço, paralisia, tosse, congestão nasal, febre",COVID-19
"paralisia, coriza, dores no corpo, cefaleia",COVID-19
"cefaleia, coriza, sem paladar, febre alta",COVID-19
"coriza, falta de ar, perda de fala ou movimento, nariz entupido",COVID-19
"coriza, dor no peito, dificuldade para respirar",COVID-19
"nariz escorrendo, irritação na garganta, falta de ar",COVID-19
"arrepios, dor de garganta, febre alta",COVID-19
"tosse, perda de paladar ou olfato, nariz entupido",COVID-19
"fadiga, dor no peito, congestão nasal",COVID-19
"cefaleia, nariz escorrendo, calafrios, tosse, febre",COVID-19
"evacuações líquidas, sem paladar, perda de fala ou movimento, dor de garganta, calafrios",COVID-19
"dor torácica, febre alta, paralisia",COVID-19
"dor de garganta, congestão nasal, dor torácica, diarreia",COVID-19
"nariz entupido, evacuações líquidas, perda de fala ou movimento, dificuldade para respirar, dores no corpo",COVID-19
"falta de ar, irritação na garganta, arrepios, dor de cabeça",COVID-19
"calafrios, falta de ar, dor de garganta, congestão nasal",COVID-19
"nariz escorrendo, cansaço, evacuações líquidas, mialgia",COVID-19
"cansaço, coriza, dor de garganta, dor de cabeça",COVID-19
"dor de cabeça, congestão nasal, fadiga",COVID-19
"congestão nasal, tosse seca, dores no corpo",COVID-19
"cansaço, dor de cabeça, mialgia",COVID-19
"falta de ar, coriza, cansaço",COVID-19
"coriza, dor no peito, dor de cabeça, fadiga",COVID-19
"tosse, arrepios, mialgia, diarreia",COVID-19
"fadiga, febre, congestão nasal, evacuações líquidas, dor no peito",COVID-19
"dor de garganta, sem paladar, perda de fala ou movimento, tosse seca, cansaço",COVID-19
"falta de ar, congestão nasal, perda de fala ou movimento",COVID-19
"dor torácica, arrepios, perda de fala ou movimento",COVID-19
"calafrios, anosmia, dor no peito, paralisia, mialgia",COVID-19
"cansaço, dor torácica, nariz entupido, calafrios",COVID-19
"falta de ar, nariz entupido, perda de paladar ou olfato, dor torácica",COVID-19
"perda de fala ou movimento, dor de cabeça, fadiga",COVID-19
"nariz entupido, dores no corpo, evacuações líquidas, perda de paladar ou olfato, falta de ar",COVID-19
"sem sentir cheiro, perda de fala ou movimento, febre, dor de garganta",COVID-19
"dor no peito, coriza, dor de garganta, arrepios, tosse",COVID-19
"tosse seca, dor de cabeça, evacuações líquidas, dificuldade para respirar, irritação na garganta",COVID-19
"falta de ar, irritação na garganta, fadiga, febre, perda de fala ou movimento",COVID-19
"perda de fala ou movimento, irritação na garganta, tosse seca, dor torácica",COVID-19
"cansaço, sem paladar, dores no corpo, congestão nasal",COVID-19
"febre alta, diarreia, paralisia, dor de cabeça",COVID-19
"nariz escorrendo, dor de cabeça, fadiga, febre alta",COVID-19
"dor torácica, dores no corpo, evacuações líquidas, nariz escorrendo",COVID-19
"irritação na garganta, cefaleia, arrepios",COVID-19
"febre alta, cefaleia, perda de fala ou movimento, diarreia",COVID-19
"fadiga, tosse, dificuldade para respirar, dores no corpo, sem sentir cheiro",COVID-19
"congestão nasal, fadiga, dificuldade para respirar",COVID-19
"fadiga, calafrios, tosse seca, dores no corpo, dor torácica",COVID-19
"calafrios, coriza, cefaleia",COVID-19
"dor de garganta, tosse, nariz entupido, falta de ar",COVID-19
"nariz escorrendo, calafrios, dor de garganta",COVID-19
"sem olfato, febre, arrepios, congestão nasal",COVID-19
"evacuações líquidas, dor torácica, cefaleia",COVID-19
"cansaço, falta de ar, tosse, paralisia, dores no corpo",COVID-19
"irritação na garganta, febre alta, calafrios, nariz escorrendo, cefaleia",COVID-19
"cansaço, falta de ar, dor de cabeça",COVID-19
"nariz escorrendo, diarreia, febre alta",COVID-19
"sem paladar, dores no corpo, tosse seca",COVID-19
"coriza, cansaço, nariz entupido, dor de garganta",COVID-19
"cefaleia, diarreia, coriza",COVID-19
"falta de ar, calafrios, febre",COVID-19
"perda de paladar ou olfato, evacuações líquidas, dor torácica, arrepios, dores no corpo",COVID-19
"tosse seca, anosmia, evacuações líquidas, calafrios, perda de fala ou movimento",COVID-19
"calafrios, cansaço, dor de cabeça, febre alta, congestão nasal",COVID-19
"congestão nasal, dificuldade para respirar, nariz escorrendo, fadiga, perda de fala ou movimento",COVID-19
"febre alta, dificuldade para respirar, cefaleia, paralisia",COVID-19
"calafrios, febre, cefaleia, dificuldade para respirar",COVID-19
"falta de ar, cansaço, nariz escorrendo",COVID-19
"febre alta, dor de garganta, fadiga, sem olfato",COVID-19
"febre, calafrios, coriza",COVID-19
"anosmia, nariz entupido, fadiga, irritação na garganta, perda de fala ou movimento",COVID-19
"tosse seca, dores no corpo, irritação na garganta, fadiga, falta de ar",COVID-19
"dor no peito, febre, sem olfato, congestão nasal",COVID-19
"sem olfato, coriza, mialgia, dor de cabeça, dor no peito",COVID-19
"paralisia, cansaço, evacuações líquidas, dificuldade para respirar, irritação na garganta",COVID-19
"sem sentir cheiro, cefaleia, tosse seca, dores no corpo",COVID-19
"fadiga, dor de cabeça, perda de paladar ou olfato, arrepios, nariz entupido",COVID-19
"dor de cabeça, febre, tosse",COVID-19
"dor de cabeça, mialgia, tosse, paralisia",COVID-19
"evacuações líquidas, paralisia, dor torácica, arrepios",COVID-19
"dores no corpo, perda de paladar ou olfato, irritação na garganta",COVID-19
"arrepios, congestão nasal, coriza",COVID-19
"sem paladar, dificuldade para respirar, fadiga, dor de cabeça",COVID-19
"nariz entupido, irritação na garganta, fadiga, arrepios",COVID-19
"dor no peito, dificuldade para respirar, tosse, dores no corpo",COVID-19
"paralisia, cefaleia, dor de garganta",COVID-19
"fadiga, febre, nariz entupido, falta de ar, tosse",COVID-19
"sem sentir cheiro, perda de fala ou movimento, dor de garganta",COVID-19
"dores no corpo, nariz escorrendo, sem sentir cheiro, dor de cabeça, dor de garganta",COVID-19
"mialgia, sem olfato, tosse",COVID-19
"dor no peito, coriza, irritação na garganta, congestão nasal, calafrios",COVID-19
"nariz entupido, dor de cabeça, dor de garganta",COVID-19
"congestão nasal, tosse, fadiga, dores no corpo",COVID-19
"dor no peito, perda de fala ou movimento, congestão nasal",COVID-19
"dor torácica, dor de cabeça, febre, perda de paladar ou olfato, nariz entupido",COVID-19
"cefaleia, fadiga, dor de garganta",COVID-19
"dor torácica, diarreia, falta de ar, cefaleia, paralisia",COVID-19
"dificuldade para respirar, perda de fala ou movimento, diarreia, dor de cabeça",COVID-19
"paralisia, falta de ar, cefaleia, dor no peito, coriza",COVID-19
"diarreia, cefaleia, coriza, dor torácica, febre",COVID-19
"febre alta, coriza, dores no corpo",COVID-19
"irritação na garganta, tosse seca, dor no peito",COVID-19
"tosse seca, cansaço, dores no corpo, diarreia",COVID-19
"dores no corpo, febre alta, dificuldade para respirar, dor no peito",COVID-19
"cansaço, tosse, febre alta",COVID-19
"evacuações líquidas, dor de cabeça, perda de paladar ou olfato",COVID-19
"cefaleia, nariz entupido, tosse, dor torácica, dor de garganta",COVID-19
"calafrios, dificuldade para respirar, cefaleia, dor de garganta",COVID-19
"perda de fala ou movimento, dores no corpo, fadiga",COVID-19
"calafrios, nariz escorrendo, evacuações líquidas, cansaço",COVID-19
"dor de cabeça, coriza, mialgia, tosse seca, nariz entupido",COVID-19
"tosse seca, cefaleia, congestão nasal, diarreia, dor de garganta",COVID-19
"dor no peito, nariz entupido, febre",COVID-19
"dores no corpo, sem paladar, febre alta",COVID-19
"febre, coriza, tosse seca, cefaleia, calafrios",COVID-19
"evacuações líquidas, nariz escorrendo, febre alta",COVID-19
"evacuações líquidas, tosse, sem paladar, irritação na garganta",COVID-19
"diarreia, nariz escorrendo, perda de fala ou movimento, irritação na garganta",COVID-19
"perda de fala ou movimento, irritação na garganta, coriza, febre",COVID-19
"dificuldade para respirar, tosse seca, cansaço, coriza, perda de fala ou movimento",COVID-19
"dificuldade para respirar, sem olfato, dor de cabeça, febre",COVID-19
"nariz escorrendo, calafrios, sem olfato, febre",COVID-19
"dor de garganta, dor no peito, nariz entupido, nariz escorrendo",COVID-19
"evacuações líquidas, febre, dor torácica",COVID-19
"tosse, nariz entupido, febre alta",COVID-19
"falta de ar, irritação na garganta, fadiga, tosse, nariz entupido",COVID-19
"cefaleia, fadiga, febre, dor no peito, coriza",COVID-19
"irritação na garganta, tosse, paralisia",COVID-19
"febre, dificuldade para respirar, dor de cabeça, tosse seca, perda de paladar ou olfato",COVID-19
"falta de ar, dor de cabeça, coriza",COVID-19
"congestão nasal, dor torácica, calafrios",COVID-19
"calafrios, coriza, tosse seca, dores no corpo, falta de ar",COVID-19
"evacuações líquidas, dificuldade para respirar, dor de garganta, nariz escorrendo, paralisia",COVID-19
"arrepios, coriza, paralisia",COVID-19
"dor no peito, dores no corpo, nariz escorrendo",COVID-19
"fadiga, nariz entupido, falta de ar, dor torácica",COVID-19
"fadiga, sem paladar, dores no corpo",COVID-19
"nariz entupido, coriza, irritação na garganta",COVID-19
"congestão nasal, dores no corpo, cefaleia, perda de paladar ou olfato",COVID-19
"febre alta, mialgia, paralisia",COVID-19
"dores no corpo, fadiga, falta de ar, nariz entupido",COVID-19
"evacuações líquidas, coriza, congestão nasal",COVID-19
"paralisia, evacuações líquidas, febre",COVID-19
"calafrios, cefaleia, sem sentir cheiro, falta de ar, febre",COVID-19
"dificuldade para respirar, dor no peito, mialgia, sem sentir cheiro",COVID-19
"cansaço, dores no corpo, paralisia, dor torácica, cefaleia",COVID-19
"cansaço, diarreia, dificuldade para respirar, arrepios",COVID-19
"anosmia, paralisia, coriza, cefaleia",COVID-19
"nariz entupido, irritação na garganta, diarreia, dor torácica",COVID-19
"febre alta, evacuações líquidas, fadiga, nariz entupido, dor de cabeça",COVID-19
"dor de garganta, sem paladar, dor de cabeça",COVID-19
"paralisia, febre alta, fadiga, tosse",COVID-19
"congestão nasal, dor de garganta, tosse seca, mialgia, evacuações líquidas",COVID-19
"irritação na garganta, diarreia, tosse seca, perda de fala ou movimento, arrepios",COVID-19
"dificuldade para respirar, dores no corpo, diarreia, dor de garganta",COVID-19
"paralisia, febre, tosse, diarreia",COVID-19
"diarreia, falta de ar, dores no corpo",COVID-19
"congestão nasal, dores no corpo, febre alta",COVID-19
"dores no corpo, dor no peito, cansaço",COVID-19
"evacuações líquidas, cansaço, tosse seca, sem paladar, dor de garganta",COVID-19
"febre alta, dor torácica, tosse seca",COVID-19
"calafrios, sem olfato, mialgia",COVID-19
"febre, evacuações líquidas, mialgia, cefaleia, nariz entupido",COVID-19
"dores no corpo, dor de garganta, congestão nasal, dor torácica",COVID-19
"perda de fala ou movimento, diarreia, febre alta, congestão nasal",COVID-19
"perda de fala ou movimento, arrepios, sem sentir cheiro, fadiga, tosse",COVID-19
"cansaço, falta de ar, dor de garganta, febre, cefaleia",COVID-19
"irritação na garganta, tosse, cefaleia, dor no peito, dificuldade para respirar",COVID-19
"dor de garganta, calafrios, cansaço, tosse, nariz entupido",COVID-19
"falta de ar, diarreia, coriza, nariz entupido",COVID-19
"congestão nasal, tosse, diarreia, dor de garganta",COVID-19
"dor de cabeça, febre alta, paralisia, sem paladar, dores no corpo",COVID-19
"dor no peito, febre alta, dor de cabeça, perda de fala ou movimento",COVID-19
"tosse, congestão nasal, fadiga, evacuações líquidas",COVID-19
"sem olfato, dificuldade para respirar, cansaço, mialgia, congestão nasal",COVID-19
"paralisia, evacuações líquidas, irritação na garganta",COVID-19
"evacuações líquidas, dor de garganta, dificuldade para respirar, tosse seca, cansaço",COVID-19
"tosse seca, congestão nasal, febre alta",COVID-19
"febre alta, dores no corpo, dor no peito, coriza",COVID-19
"sem paladar, nariz escorrendo, tosse seca, irritação na garganta",COVID-19
"dores no corpo, dor de garganta, arrepios",COVID-19
"tosse, diarreia, dor de garganta",COVID-19
"arrepios, cefaleia, nariz entupido",COVID-19
"tosse, nariz entupido, arrepios",COVID-19
"diarreia, paralisia, perda de paladar ou olfato",COVID-19
"calafrios, tosse, fadiga, irritação na garganta, coriza",COVID-19
"falta de ar, irritação na garganta, perda de fala ou movimento, evacuações líquidas",COVID-19
"fadiga, diarreia, anosmia",COVID-19
"dor de cabeça, dores no corpo, fadiga, sem olfato, nariz entupido",COVID-19
"nariz entupido, dor de cabeça, falta de ar",COVID-19
"dificuldade para respirar, anosmia, perda de fala ou movimento, arrepios",COVID-19
"fadiga, perda de fala ou movimento, mialgia, cefaleia, sem olfato",COVID-19
"arrepios, dores no corpo, paralisia",COVID-19
"dores no corpo, sem sentir cheiro, congestão nasal",COVID-19
"febre, coriza, dor de cabeça, tosse, diarreia",COVID-19
"dor torácica, calafrios, febre, nariz entupido, dores no corpo",COVID-19
"falta de ar, perda de fala ou movimento, sem paladar",COVID-19
"calafrios, diarreia, dores no corpo, nariz entupido, dor no peito",COVID-19
"dor torácica, mialgia, arrepios, fadiga, febre alta",COVID-19
"perda de paladar ou olfato, nariz entupido, tosse seca, febre, falta de ar",COVID-19
"dor torácica, perda de fala ou movimento, dor de garganta, falta de ar",COVID-19
"sem sentir cheiro, perda de fala ou movimento, dor torácica, nariz escorrendo, febre alta",COVID-19
"fadiga, sem olfato, coriza",COVID-19
"dor de garganta, arrepios, dor no peito, nariz escorrendo",COVID-19
"cansaço, calafrios, congestão nasal, febre, dor no peito",COVID-19
"irritação na garganta, tosse, febre alta, dor de cabeça, cansaço",COVID-19
"dor de cabeça, congestão nasal, dores no corpo",COVID-19
"irritação na garganta, arrepios, cansaço, dificuldade para respirar, nariz entupido",COVID-19
"nariz entupido, irritação na garganta, sem paladar",COVID-19
"dificuldade para respirar, paralisia, dor de garganta",COVID-19
"dor torácica, dor de cabeça, falta de ar, diarreia",COVID-19
"evacuações líquidas, nariz escorrendo, irritação na garganta, calafrios",COVID-19
"dor de cabeça, dor torácica, dificuldade para respirar, mialgia",COVID-19
"nariz escorrendo, dor no peito, calafrios, febre",COVID-19
"arrepios, perda de paladar ou olfato, irritação na garganta, falta de ar",COVID-19
"fadiga, febre alta, congestão nasal, diarreia",COVID-19
"dor torácica, falta de ar, sem paladar, dor de cabeça",COVID-19
"nariz escorrendo, fadiga, falta de ar",COVID-19
"cefaleia, dor torácica, fadiga, coriza",COVID-19
"irritação na garganta, coriza, dor de cabeça, dor no peito",COVID-19
"tosse seca, dificuldade para respirar, perda de fala ou movimento",COVID-19
"calafrios, tosse seca, paralisia, irritação na garganta",COVID-19
"dores no corpo, cefaleia, perda de fala ou movimento, febre alta, evacuações líquidas",COVID-19
"arrepios, dores no corpo, perda de fala ou movimento, falta de ar",COVID-19
"dor torácica, febre, dificuldade para respirar, perda de fala ou movimento",COVID-19
"anosmia, mialgia, calafrios",COVID-19
"dor no peito, perda de paladar ou olfato, diarreia, febre",COVID-19
"nariz escorrendo, dor torácica, diarreia, fadiga, dor de garganta",COVID-19
"calafrios, febre alta, perda de fala ou movimento",COVID-19
"perda de paladar ou olfato, fadiga, evacuações líquidas, dor no peito",COVID-19
"evacuações líquidas, dores no corpo, febre alta, nariz entupido",COVID-19
"dor no peito, perda de paladar ou olfato, febre alta",COVID-19
"dor de garganta, dores no corpo, perda de paladar ou olfato, dificuldade para respirar, diarreia",COVID-19
"tosse seca, perda de fala ou movimento, dores no corpo",COVID-19
"dor de cabeça, paralisia, falta de ar, tosse, febre alta",COVID-19
"perda de fala ou movimento, dor torácica, tosse",COVID-19
"calafrios, anosmia, dor no peito",COVID-19
"sem paladar, dor no peito, calafrios, evacuações líquidas",COVID-19
"cansaço, congestão nasal, febre",COVID-19
"sem sentir cheiro, cansaço, paralisia",COVID-19
"tosse seca, sem sentir cheiro, febre, dor de cabeça",COVID-19
"mialgia, dor torácica, sem sentir cheiro",COVID-19
"irritação na garganta, diarreia, dor torácica",COVID-19
"dor de garganta, congestão nasal, diarreia",COVID-19
"calafrios, dificuldade para respirar, dor de garganta",COVID-19
"dificuldade para respirar, coriza, perda de fala ou movimento, febre, perda de paladar ou olfato",COVID-19
"arrepios, dor de cabeça, dor torácica, coriza",COVID-19
"irritação na garganta, congestão nasal, perda de fala ou movimento",COVID-19
"diarreia, sem olfato, irritação na garganta",COVID-19
"diarreia, dores no corpo, tosse, dor no peito",COVID-19
"tosse seca, cansaço, dificuldade para respirar",COVID-19
"calafrios, dores no corpo, dor no peito, nariz escorrendo, febre alta",COVID-19
"nariz escorrendo, sem olfato, tosse seca",COVID-19
"irritação na garganta, dor no peito, dores no corpo, diarreia",COVID-19
"sem olfato, falta de ar, febre, fadiga, dor de garganta",COVID-19
"dor de cabeça, dor de garganta, cansaço",COVID-19
"febre, mialgia, sem olfato",COVID-19
"sem sentir cheiro, paralisia, dificuldade para respirar, nariz escorrendo",COVID-19
"falta de ar, calafrios, febre",COVID-19
"febre alta, dor no peito, dores no corpo, nariz entupido",COVID-19
"dor torácica, calafrios, falta de ar, dor de garganta, cefaleia",COVID-19
"dor de cabeça, dor de garganta, calafrios, congestão nasal",COVID-19
"cansaço, sem sentir cheiro, febre alta, arrepios",COVID-19
"mialgia, nariz escorrendo, perda de fala ou movimento",COVID-19
"dor de garganta, tosse, perda de fala ou movimento",COVID-19
"evacuações líquidas, perda de paladar ou olfato, arrepios, dor de cabeça, mialgia",COVID-19
"irritação na garganta, calafrios, mialgia, paralisia",COVID-19
"dor torácica, cansaço, mialgia, coriza",COVID-19
"calafrios, dor torácica, diarreia",COVID-19
"tosse seca, perda de paladar ou olfato, paralisia",COVID-19
"sem paladar, dificuldade para respirar, coriza",COVID-19
"congestão nasal, febre, arrepios",COVID-19
"coriza, perda de fala ou movimento, dores no corpo, dor torácica",COVID-19
"tosse, paralisia, calafrios, fadiga, febre",COVID-19
"dor no peito, calafrios, evacuações líquidas",COVID-19
"cefaleia, falta de ar, mialgia, anosmia",COVID-19
"tosse, dificuldade para respirar, arrepios, paralisia, nariz escorrendo",COVID-19
"mialgia, perda de fala ou movimento, febre alta, tosse seca, cefaleia",COVID-19
"nariz escorrendo, calafrios, cansaço, dor no peito",COVID-19
"sem paladar, dor no peito, coriza",COVID-19
"irritação na garganta, dor no peito, falta de ar",COVID-19
"perda de paladar ou olfato, falta de ar, calafrios",COVID-19
"nariz entupido, dor no peito, coriza",COVID-19
"cansaço, dificuldade para respirar, calafrios, paralisia, tosse",COVID-19
"dor no peito, dor de cabeça, tosse seca, arrepios",COVID-19
"irritação na garganta, mialgia, cefaleia, sem olfato",COVID-19
"congestão nasal, perda de paladar ou olfato, dificuldade para respirar",COVID-19
"evacuações líquidas, irritação na garganta, dor torácica, nariz entupido",COVID-19
"dor torácica, coriza, dificuldade para respirar, calafrios",COVID-19
"dor no peito, sem sentir cheiro, tosse, congestão nasal, febre",COVID-19
"fadiga, nariz entupido, dores no corpo",COVID-19
"febre alta, dor no peito, falta de ar",COVID-19
"coriza, perda de fala ou movimento, dor no peito, tosse, sem paladar",COVID-19
"congestão nasal, anosmia, paralisia, calafrios",COVID-19
"dor torácica, nariz entupido, dor de garganta",COVID-19
"tosse seca, dor no peito, nariz escorrendo, evacuações líquidas",COVID-19
"falta de ar, diarreia, arrepios, tosse seca, dor de garganta",COVID-19
"dor no peito, febre, dificuldade para respirar, calafrios",COVID-19
"diarreia, dores no corpo, dor torácica, perda de fala ou movimento, febre",COVID-19
"tosse seca, mialgia, dificuldade para respirar, diarreia, febre",COVID-19
"calafrios, dor no peito, perda de fala ou movimento",COVID-19
"calafrios, mialgia, cefaleia",COVID-19
"falta de ar, tosse, arrepios, dor no peito",COVID-19
"dor de cabeça, falta de ar, mialgia, dor torácica",COVID-19
"dores no corpo, fadiga, nariz entupido",COVID-19
"tosse, nariz escorrendo, sem paladar, dor torácica, congestão nasal",COVID-19
"dor torácica, irritação na garganta, dificuldade para respirar, coriza, mialgia",COVID-19
"evacuações líquidas, dor de garganta, nariz entupido, dor no peito, perda de fala ou movimento",COVID-19
"dor no peito, perda de fala ou movimento, febre, cansaço, evacuações líquidas",COVID-19
"arrepios, dor de garganta, evacuações líquidas, falta de ar, febre",COVID-19
"congestão nasal, nariz escorrendo, calafrios, tosse seca, dor no peito",COVID-19
"febre, sem sentir cheiro, cansaço, coriza",COVID-19
"evacuações líquidas, febre alta, fadiga",COVID-19
"irritação na garganta, cansaço, cefaleia",COVID-19
"dor de cabeça, falta de ar, perda de fala ou movimento, irritação na garganta, arrepios",COVID-19
"calafrios, cansaço, nariz entupido",COVID-19
"dor no peito, febre alta, perda de fala ou movimento, dor de cabeça, dores no corpo",COVID-19
"nariz escorrendo, dor no peito, evacuações líquidas, fadiga",COVID-19
"nariz escorrendo, mialgia, diarreia",COVID-19
"febre, coriza, paralisia",COVID-19
"arrepios, dificuldade para respirar, dor de garganta, nariz escorrendo, perda de fala ou movimento",COVID-19
"mialgia, dor de garganta, sem paladar",COVID-19
"cefaleia, nariz entupido, mialgia",COVID-19
"congestão nasal, dor de cabeça, dor no peito, mialgia, nariz escorrendo",COVID-19
"coriza, cansaço, irritação na garganta",COVID-19
"diarreia, dor de cabeça, dor torácica, calafrios",COVID-19
"paralisia, dor de cabeça, cansaço",COVID-19
"dores no corpo, falta de ar, fadiga, congestão nasal",COVID-19
"dificuldade para respirar, irritação na garganta, diarreia, dor no peito",COVID-19
"calafrios, cefaleia, anosmia, congestão nasal, dor de garganta",COVID-19
"dor torácica, febre, congestão nasal",COVID-19
"mialgia, nariz entupido, paralisia, calafrios, dor torácica",COVID-19
"dores no corpo, febre alta, sem paladar, perda de fala ou movimento, nariz escorrendo",COVID-19
"falta de ar, dor no peito, perda de paladar ou olfato",COVID-19
"dor torácica, tosse, cansaço, evacuações líquidas, cefaleia",COVID-19
"nariz entupido, dores no corpo, cefaleia, paralisia, febre alta",COVID-19
"sem paladar, tosse, febre alta, paralisia",COVID-19
"dor torácica, falta de ar, diarreia, nariz entupido, tosse",COVID-19
"febre, calafrios, paralisia, dor torácica, diarreia",COVID-19
"calafrios, tosse seca, coriza, febre alta",COVID-19
"nariz entupido, calafrios, fadiga",COVID-19
"nariz escorrendo, calafrios, mialgia, perda de fala ou movimento",COVID-19
"congestão nasal, paralisia, falta de ar, febre alta",COVID-19
"mialgia, arrepios, tosse",COVID-19
"dores no corpo, paralisia, diarreia, nariz entupido, calafrios",COVID-19
"tosse, nariz escorrendo, dor no peito, paralisia",COVID-19
"irritação na garganta, nariz entupido, arrepios",COVID-19
"dificuldade para respirar, nariz escorrendo, dor torácica",COVID-19
"febre, perda de fala ou movimento, evacuações líquidas",COVID-19
"anosmia, diarreia, nariz entupido",COVID-19
"perda de fala ou movimento, arrepios, falta de ar, cefaleia",COVID-19
"cansaço, cefaleia, falta de ar",COVID-19
"dores no corpo, dor de cabeça, febre alta",COVID-19
"calafrios, febre, perda de paladar ou olfato, dor de garganta",COVID-19
"dores no corpo, irritação na garganta, diarreia, perda de fala ou movimento, tosse seca",COVID-19
"dores no corpo, paralisia, cefaleia, falta de ar, congestão nasal",COVID-19
"dores no corpo, nariz entupido, dor no peito, cansaço",COVID-19
"nariz entupido, mialgia, falta de ar",COVID-19
"falta de ar, sem olfato, dor de garganta, diarreia, mialgia",COVID-19
"dificuldade para respirar, nariz entupido, paralisia, diarreia",COVID-19
"sem paladar, dor torácica, dificuldade para respirar, tosse",COVID-19
"arrepios, dores no corpo, febre alta, tosse",COVID-19
"sem sentir cheiro, febre alta, diarreia",COVID-19
"febre alta, fadiga, dor de cabeça",COVID-19
"fadiga, nariz entupido, dificuldade para respirar",COVID-19
"congestão nasal, fadiga, evacuações líquidas",COVID-19
"falta de ar, dores no corpo, congestão nasal, irritação na garganta, perda de paladar ou olfato",COVID-19
"tosse, fadiga, perda de fala ou movimento, dor de garganta, calafrios",COVID-19
"dor no peito, mialgia, coriza, dor de garganta",COVID-19
"irritação na garganta, nariz entupido, fadiga",COVID-19
"falta de ar, mialgia, evacuações líquidas, calafrios",COVID-19
"falta de ar, dores no corpo, arrepios, fadiga, perda de fala ou movimento",COVID-19
"perda de paladar ou olfato, dor de garganta, fadiga",COVID-19
"arrepios, dores no corpo, nariz entupido, falta de ar, dor de cabeça",COVID-19
"falta de ar, calafrios, tosse",COVID-19
"dor de cabeça, congestão nasal, sem sentir cheiro",COVID-19
"congestão nasal, calafrios, nariz escorrendo",COVID-19
"sem paladar, paralisia, tosse seca, evacuações líquidas",COVID-19
"evacuações líquidas, arrepios, dor de garganta, mialgia",COVID-19
"febre, dor de cabeça, evacuações líquidas, falta de ar, perda de fala ou movimento",COVID-19
"dores no corpo, congestão nasal, dor torácica",COVID-19
"arrepios, febre, fadiga",COVID-19
"febre, dores no corpo, arrepios",COVID-19
"nariz entupido, evacuações líquidas, mialgia, arrepios, sem olfato",COVID-19
"calafrios, cefaleia, dor de garganta",COVID-19
"irritação na garganta, anosmia, dor de cabeça",COVID-19
